city,neighbourhood_cleansed,population,housing_units,rent_median,rent_burden
denver,Fort Logan,16416.0,6055.0,1501.0,30.8
denver,Gateway - Green Valley Ranch,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Globeville,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Goldsmith,24169.0,11011.0,1446.0,29.699999999999996
denver,Hale,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Hampden,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Hampden South,22149.0,11300.0,1663.0,28.9
denver,Harvey Park,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Harvey Park South,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Highland,36330.0,18061.0,1646.0,30.7
denver,Hilltop,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Indian Creek,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Jefferson Park,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Lincoln Park,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Lowry Field,9782.0,4840.0,1765.0,33.7
denver,Mar Lee,67393.0,22222.0,1273.0,36.4
denver,Marston,46816.0,19186.0,1709.0,33.0
denver,Montbello,46465.0,13385.0,1587.0,32.0
denver,Montclair,37116.0,16401.0,1404.0,31.1
denver,North Capitol Hill,282.0,193.0,2402.1302573207176,27.820946688161165
denver,North Park Hill,22776.0,8887.0,1495.0,33.9
denver,Northeast Park Hill,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Overland,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Platt Park,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Regis,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Rosedale,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Ruby Hill,20227.0,8688.0,1408.0,33.4
denver,Skyland,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Sloan Lake,1.0,1.0,1595.7325644423388,33.70696606144814
denver,South Park Hill,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Southmoor Park,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Speer,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Stapleton,27921.0,10124.0,1842.0,25.600000000000005
denver,Sun Valley,33853.0,15339.0,1432.0,37.2
denver,Sunnyside,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Union Station,16956.0,10501.0,1960.9138316972026,26.701652976188118
denver,University,38060.0,16402.0,1682.9977071088924,30.80007637850923
denver,University Hills,1.0,1.0,1595.7325644423388,33.70696606144814
denver,University Park,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Valverde,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Villa Park,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Virginia Village,18995.0,8013.0,1381.0,37.4
denver,Washington Park,24074.0,13535.0,1587.0003627384083,25.500340905793035
denver,Washington Park West,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Washington Virginia Vale,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Wellshire,1.0,1.0,1595.7325644423388,33.70696606144814
denver,West Colfax,1.0,1.0,1595.7325644423388,33.70696606144814
denver,West Highland,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Westwood,1.0,1.0,1595.7325644423388,33.70696606144814
denver,Whittier,33805.0,15924.0,1531.0,35.0
denver,Windsor,29066.0,14878.0,1499.0,38.5
hawaii,Central Oahu,170586.0,50760.0,1953.1761149723613,33.956431152629726
hawaii,East Honolulu,49872.0,17360.0,2925.3255079516452,31.829664079364402
