,city,neighborhood,coordinates
296,chicago,Loop,"(-87.62719677845286, 41.878935999999996)"
297,chicago,South Shore,"(-87.5753023888889, 41.76266)"
298,chicago,South Chicago,"(-87.5489403800578, 41.739008)"
299,chicago,South Deering,"(-87.57197284036144, 41.691454)"
300,chicago,East Side,"(-87.53502010810811, 41.707871)"
301,chicago,West Pullman,"(-87.63835541304348, 41.671347499999996)"
302,chicago,Riverdale,"(-87.60527301450433, 41.665465)"
303,chicago,Hegewisch,"(-87.53566072477392, 41.668223)"
304,chicago,Garfield Ridge,"(-87.74548361945392, 41.803371999999996)"
305,chicago,Fuller Park,"(-87.63239195706011, 41.809065000000004)"
306,chicago,Lake View,"(-87.65748994194561, 41.946985)"
307,chicago,Montclare,"(-87.79846187696629, 41.9278215)"
308,chicago,Clearing,"(-87.76917175864071, 41.7784075)"
309,chicago,Greater Grand Crossing,"(-87.62091547611914, 41.766977)"
310,chicago,Lincoln Park,"(-87.64859522123893, 41.921919)"
311,chicago,Ashburn,"(-87.70975698387096, 41.74802)"
312,chicago,Mount Greenwood,"(-87.70824854035087, 41.6968575)"
313,chicago,Ohare,"(-87.90467227116832, 41.973134)"
314,chicago,Edgewater,"(-87.6637664011628, 41.9871705)"
315,chicago,Douglas,"(-87.61713945356604, 41.834716)"
316,chicago,Oakland,"(-87.60510466050175, 41.824142)"
317,chicago,Burnside,"(-87.59673174305556, 41.7294555)"
318,chicago,Grand Boulevard,"(-87.61782795143309, 41.8129345)"
319,chicago,Archer Heights,"(-87.72619409486057, 41.810882500000005)"
320,chicago,Kenwood,"(-87.59655312412588, 41.8095905)"
321,chicago,Washington Park,"(-87.617302882102, 41.791126500000004)"
322,chicago,Portage Park,"(-87.764703545, 41.9536545)"
323,chicago,Irving Park,"(-87.71875026833334, 41.953577499999994)"
324,chicago,Belmont Cragin,"(-87.76610233864423, 41.92642)"
325,chicago,Hermosa,"(-87.73509696577568, 41.926019999999994)"
326,chicago,Avondale,"(-87.70975532775591, 41.9392085)"
327,chicago,Humboldt Park,"(-87.72394616515427, 41.9009185)"
328,chicago,West Garfield Park,"(-87.73045660282258, 41.878336000000004)"
329,chicago,East Garfield Park,"(-87.70605206114547, 41.878656500000005)"
330,chicago,North Lawndale,"(-87.71389952353694, 41.858296499999994)"
331,chicago,South Lawndale,"(-87.71323128673325, 41.8379605)"
332,chicago,Lower West Side,"(-87.67147033344006, 41.847575000000006)"
333,chicago,Armour Square,"(-87.63312522813688, 41.840616)"
334,chicago,Chatham,"(-87.61416755994271, 41.736946)"
335,chicago,Avalon Park,"(-87.58845516875, 41.74683)"
336,chicago,Calumet Heights,"(-87.57308033129584, 41.729746500000005)"
337,chicago,Roseland,"(-87.61937938968447, 41.7120075)"
338,chicago,North Center,"(-87.68495963636364, 41.94685749999999)"
339,chicago,Pullman,"(-87.59839061280488, 41.7039685)"
340,chicago,Brighton Park,"(-87.69920987396694, 41.81944)"
341,chicago,Mckinley Park,"(-87.67237513445379, 41.830982500000005)"
342,chicago,Bridgeport,"(-87.64965390906815, 41.8365895)"
343,chicago,New City,"(-87.65989129623657, 41.8087765)"
344,chicago,West Elsdon,"(-87.72447946883861, 41.7959145)"
345,chicago,Gage Park,"(-87.69630056494523, 41.7955885)"
346,chicago,West Lawn,"(-87.72736093030304, 41.769587)"
347,chicago,Chicago Lawn,"(-87.69574535278693, 41.771929)"
